2025-03-22 22:15:02,471 - Episode 1/1000 | Total Reward: -1956.94 | Explore: 54 | Exploit: 0 | Epsilon: 1.000 | Avg Wait: nans | Avg Queue: nan | Time: 3.31s
2025-03-22 22:15:05,787 - Episode 2/1000 | Total Reward: -3358.77 | Explore: 55 | Exploit: 0 | Epsilon: 0.954 | Avg Wait: nans | Avg Queue: nan | Time: 3.31s
2025-03-22 22:15:08,986 - Episode 3/1000 | Total Reward: -5749.62 | Explore: 50 | Exploit: 4 | Epsilon: 0.901 | Avg Wait: nans | Avg Queue: nan | Time: 3.20s
2025-03-22 22:15:11,852 - Episode 4/1000 | Total Reward: -14130.95 | Explore: 47 | Exploit: 7 | Epsilon: 0.848 | Avg Wait: nans | Avg Queue: nan | Time: 2.87s
2025-03-22 22:15:14,840 - Episode 5/1000 | Total Reward: -2083.96 | Explore: 46 | Exploit: 8 | Epsilon: 0.794 | Avg Wait: nans | Avg Queue: nan | Time: 2.99s
2025-03-22 22:15:17,980 - Episode 6/1000 | Total Reward: -5374.54 | Explore: 44 | Exploit: 10 | Epsilon: 0.741 | Avg Wait: nans | Avg Queue: nan | Time: 3.14s
2025-03-22 22:15:20,936 - Episode 7/1000 | Total Reward: -15121.02 | Explore: 40 | Exploit: 14 | Epsilon: 0.687 | Avg Wait: nans | Avg Queue: nan | Time: 2.96s
2025-03-22 22:15:24,050 - Episode 8/1000 | Total Reward: -14810.81 | Explore: 38 | Exploit: 16 | Epsilon: 0.634 | Avg Wait: nans | Avg Queue: nan | Time: 3.11s
2025-03-22 22:15:26,941 - Episode 9/1000 | Total Reward: -8243.05 | Explore: 26 | Exploit: 29 | Epsilon: 0.579 | Avg Wait: nans | Avg Queue: nan | Time: 2.89s
2025-03-22 22:15:29,867 - Episode 10/1000 | Total Reward: -4023.28 | Explore: 26 | Exploit: 27 | Epsilon: 0.527 | Avg Wait: nans | Avg Queue: nan | Time: 2.93s
2025-03-22 22:15:32,850 - Episode 11/1000 | Total Reward: -2961.32 | Explore: 28 | Exploit: 26 | Epsilon: 0.473 | Avg Wait: nans | Avg Queue: nan | Time: 2.98s
2025-03-22 22:15:35,923 - Episode 12/1000 | Total Reward: -44020.63 | Explore: 23 | Exploit: 31 | Epsilon: 0.420 | Avg Wait: nans | Avg Queue: nan | Time: 3.07s
2025-03-22 22:15:39,181 - Episode 13/1000 | Total Reward: -54577.66 | Explore: 26 | Exploit: 29 | Epsilon: 0.365 | Avg Wait: nans | Avg Queue: nan | Time: 3.26s
2025-03-22 22:15:43,069 - Episode 14/1000 | Total Reward: -7336.67 | Explore: 20 | Exploit: 37 | Epsilon: 0.309 | Avg Wait: nans | Avg Queue: nan | Time: 3.89s
2025-03-22 22:15:46,668 - Episode 15/1000 | Total Reward: -3534.00 | Explore: 11 | Exploit: 45 | Epsilon: 0.254 | Avg Wait: nans | Avg Queue: nan | Time: 3.60s
2025-03-22 22:15:50,137 - Episode 16/1000 | Total Reward: -9109.94 | Explore: 14 | Exploit: 43 | Epsilon: 0.197 | Avg Wait: nans | Avg Queue: nan | Time: 3.47s
2025-03-22 22:15:54,828 - Episode 17/1000 | Total Reward: -257274.38 | Explore: 8 | Exploit: 50 | Epsilon: 0.140 | Avg Wait: nans | Avg Queue: nan | Time: 4.69s
2025-03-22 22:15:59,194 - Episode 18/1000 | Total Reward: -171256.44 | Explore: 4 | Exploit: 55 | Epsilon: 0.081 | Avg Wait: nans | Avg Queue: nan | Time: 4.36s
2025-03-22 22:16:02,845 - Episode 19/1000 | Total Reward: -137774.31 | Explore: 5 | Exploit: 52 | Epsilon: 0.025 | Avg Wait: nans | Avg Queue: nan | Time: 3.65s
2025-03-22 22:16:07,143 - Episode 20/1000 | Total Reward: -202957.40 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.30s
2025-03-22 22:16:11,420 - Episode 21/1000 | Total Reward: -223804.68 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.28s
2025-03-22 22:16:15,826 - Episode 22/1000 | Total Reward: -231080.71 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.41s
2025-03-22 22:16:20,109 - Episode 23/1000 | Total Reward: -187255.47 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.28s
2025-03-22 22:16:24,446 - Episode 24/1000 | Total Reward: -224104.39 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.34s
2025-03-22 22:16:28,595 - Episode 25/1000 | Total Reward: -216038.96 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.15s
2025-03-22 22:16:32,907 - Episode 26/1000 | Total Reward: -220345.09 | Explore: 1 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.31s
2025-03-22 22:16:36,891 - Episode 27/1000 | Total Reward: -216346.51 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.98s
2025-03-22 22:16:41,523 - Episode 28/1000 | Total Reward: -252446.98 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.63s
2025-03-22 22:16:45,754 - Episode 29/1000 | Total Reward: -232566.30 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.23s
2025-03-22 22:16:50,343 - Episode 30/1000 | Total Reward: -237605.22 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.59s
2025-03-22 22:16:54,647 - Episode 31/1000 | Total Reward: -247953.34 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.30s
2025-03-22 22:16:58,672 - Episode 32/1000 | Total Reward: -207153.39 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.02s
2025-03-22 22:17:03,134 - Episode 33/1000 | Total Reward: -198719.77 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.46s
