2025-04-09 21:34:50,736 - INFO - No saved model found, training from scratch.
2025-04-09 21:34:53,155 - INFO - Episode 1/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.2238, Epsilon: 1.000, Explore: 214, Exploit: 0
2025-04-09 21:34:56,295 - INFO - Episode 2/3000, Difficulty: 0.00, Reward: -2.9, Loss: 0.0773, Epsilon: 1.000, Explore: 216, Exploit: 0
2025-04-09 21:34:59,277 - INFO - Episode 3/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0284, Epsilon: 0.999, Explore: 215, Exploit: 0
2025-04-09 21:35:02,429 - INFO - Episode 4/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0112, Epsilon: 0.999, Explore: 214, Exploit: 0
2025-04-09 21:35:05,516 - INFO - Episode 5/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0063, Epsilon: 0.999, Explore: 213, Exploit: 0
2025-04-09 21:35:08,595 - INFO - Episode 6/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0050, Epsilon: 0.999, Explore: 215, Exploit: 0
2025-04-09 21:35:11,825 - INFO - Episode 7/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0045, Epsilon: 0.998, Explore: 213, Exploit: 1
2025-04-09 21:35:15,212 - INFO - Episode 8/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0038, Epsilon: 0.998, Explore: 214, Exploit: 0
2025-04-09 21:35:18,434 - INFO - Episode 9/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0033, Epsilon: 0.998, Explore: 213, Exploit: 1
2025-04-09 21:35:21,707 - INFO - Episode 10/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0028, Epsilon: 0.998, Explore: 213, Exploit: 0
2025-04-09 21:35:25,078 - INFO - Episode 11/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0023, Epsilon: 0.998, Explore: 215, Exploit: 0
2025-04-09 21:35:28,351 - INFO - Episode 12/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0022, Epsilon: 0.997, Explore: 213, Exploit: 1
2025-04-09 21:35:31,545 - INFO - Episode 13/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0020, Epsilon: 0.997, Explore: 210, Exploit: 3
