2025-05-04 12:00:16,587 - INFO - Loaded existing model.
2025-05-04 12:00:19,256 - INFO - Episode 1/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0048, Epsilon: 0.892, Explore: 178, Exploit: 19 ,action: 8
2025-05-04 12:00:23,049 - INFO - Episode 2/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0107, Epsilon: 0.892, Explore: 169, Exploit: 23 ,action: 5
2025-05-04 12:00:26,865 - INFO - Episode 3/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0093, Epsilon: 0.892, Explore: 175, Exploit: 19 ,action: 8
2025-05-04 12:00:30,532 - INFO - Episode 4/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0059, Epsilon: 0.891, Explore: 162, Exploit: 24 ,action: 5
2025-05-04 12:00:34,144 - INFO - Episode 5/3000, Difficulty: 0.00, Reward: -1.6, Loss: 0.0039, Epsilon: 0.891, Explore: 168, Exploit: 16 ,action: 0
2025-05-04 12:00:37,885 - INFO - Episode 6/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0050, Epsilon: 0.891, Explore: 163, Exploit: 27 ,action: 5
2025-05-04 12:00:41,645 - INFO - Episode 7/3000, Difficulty: 0.00, Reward: 0.0, Loss: 0.0045, Epsilon: 0.891, Explore: 180, Exploit: 17 ,action: 7
2025-05-04 12:00:45,453 - INFO - Episode 8/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0043, Epsilon: 0.891, Explore: 178, Exploit: 24 ,action: 2
2025-05-04 12:00:49,221 - INFO - Episode 9/3000, Difficulty: 0.00, Reward: -1.3, Loss: 0.0041, Epsilon: 0.890, Explore: 165, Exploit: 25 ,action: 0
2025-05-04 12:00:52,914 - INFO - Episode 10/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0050, Epsilon: 0.890, Explore: 172, Exploit: 23 ,action: 7
2025-05-04 12:00:56,597 - INFO - Episode 11/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0048, Epsilon: 0.890, Explore: 169, Exploit: 22 ,action: 8
