episode,episode_rewards,waiting_times,queue_lengths,vehicle_counts
1,5958.5999999999985,1204825.0808080807,473.6969696969697,645
2,5916.200000000001,1171335.0384615385,467.125,645
3,3855.4599999999987,960108.7264150943,429.2169811320755,437
4,5925.979999999996,1129234.6090909091,466.1636363636364,643
5,5969.999999999999,1136690.8113207547,460.37735849056605,643
6,5953.319999999998,1143076.1666666667,465.72222222222223,643
7,3852.9899999999984,1051789.1523809524,455.85714285714283,444
8,5933.349999999996,1158376.6509433961,468.58490566037733,643
9,5966.299999999999,1119776.2660550459,459.2201834862385,645
10,3866.8499999999985,992788.0882352941,447.2450980392157,448
