queue_ns,queue_ew,queue_sn,queue_ws
0.0,0.0,0.0,0.0
0.0,0.3,0.08,0.128
0.18,0.6,0.28,0.972
1.443,1.3,0.46,3.723
2.137,1.3,0.48,4.987
3.385,1.5,0.64,7.813
5.055,1.7,0.76,11.665
7.955,3.0,1.06,18.542
12.36,3.7,1.28,27.445
17.878,4.0,1.46,37.612
0.0,1.8,1.48,41.177
1.255,1.9,1.58,48.233
3.137,2.1,1.72,56.265
6.435,2.8,1.98,70.17
0.0,0.4,2.04,76.015
0.27,0.4,2.14,84.095
0.0,0.0,2.16,87.128
0.68,1.2,2.38,105.227
1.233,1.3,2.44,111.88
0.0,0.4,2.5,116.613
0.0,0.2,2.74,136.307
0.0,0.3,2.86,149.482
0.0,0.1,3.06,171.463
0.023,0.5,3.14,179.46
0.927,1.1,3.38,203.75
2.78,2.1,3.58,229.892
5.982,2.5,3.8,257.792
0.0,0.6,3.9,267.76
0.0,0.2,3.92,276.885
0.0,0.1,4.12,294.922
0.047,0.4,4.2,308.748
0.817,0.8,4.42,341.128
0.0,0.1,4.52,347.453
0.365,0.5,4.86,384.717
0.673,0.5,4.96,399.883
0.0,0.1,4.96,405.257
0.332,0.7,5.16,445.527
1.748,1.5,5.4,485.132
4.173,2.2,5.64,526.427
7.718,3.3,5.82,569.315
11.307,3.3,6.06,603.135
16.707,4.2,6.32,649.248
20.452,4.6,6.44,677.993
23.565,4.8,6.6,700.217
27.543,5.0,6.74,728.01
35.163,5.9,6.88,779.148
39.623,6.0,7.04,806.392
44.817,6.3,7.18,837.24
49.122,6.5,7.3,862.022
56.94,6.8,7.48,906.382
0.0,1.1,7.68,947.638
0.283,1.3,7.8,965.74
1.337,1.6,7.94,999.873
4.103,2.5,8.32,1060.998
7.892,2.9,8.56,1124.397
10.023,3.2,8.64,1155.94
14.97,3.7,8.84,1221.447
20.717,4.5,8.96,1288.233
24.305,4.6,9.04,1325.12
31.205,4.6,9.04,1392.92
38.105,4.6,9.04,1460.72
0.0,0.6,9.04,1496.88
0.747,0.5,9.04,1568.447
1.497,0.5,9.04,1636.247
0.0,0.0,9.04,1645.287
0.0,0.0,9.04,1716.853
0.0,0.0,9.04,1788.42
0.0,0.0,9.04,1859.987
0.0,0.0,9.04,1927.787
0.0,0.0,9.04,1995.587
0.0,0.0,9.04,2063.387
0.0,0.0,9.04,2131.187
0.0,0.0,9.04,2198.987
0.0,0.0,9.04,2266.787
0.0,0.0,9.04,2334.587
0.0,0.0,9.04,2402.387
0.0,0.0,9.04,2470.187
0.0,0.0,9.04,2537.987
0.0,0.0,9.04,2605.787
0.0,0.0,9.04,2673.587
0.0,0.0,9.04,2741.387
0.0,0.0,9.04,2809.187
0.0,0.0,9.04,2876.987
0.0,0.0,9.04,2948.553
0.0,0.0,9.04,3020.12
0.0,0.0,9.04,3087.92
0.0,0.0,9.04,3155.72
0.0,0.0,9.04,3223.52
0.0,0.0,9.04,3291.32
0.0,0.0,9.04,3359.12
0.0,0.0,9.04,3426.92
0.0,0.0,9.04,3494.72
0.0,0.0,9.04,3562.52
0.0,0.0,9.04,3630.32
0.0,0.0,9.04,3698.12
0.0,0.0,9.04,3765.92
0.0,0.0,9.04,3833.72
0.0,0.0,9.04,3901.52
0.0,0.0,9.04,3973.087
0.0,0.0,0.0,0.0
0.0,0.3,0.08,0.128
0.18,0.6,0.28,0.972
1.443,1.3,0.46,3.723
2.137,1.3,0.48,4.987
3.385,1.5,0.64,7.813
5.055,1.7,0.76,11.665
7.955,3.0,1.06,18.542
0.0,0.4,1.14,21.693
0.2,0.5,1.26,25.972
1.422,1.2,1.46,35.908
2.548,1.4,1.52,42.685
3.883,1.7,1.62,49.948
0.0,0.2,1.72,53.398
0.315,0.9,1.96,67.705
0.918,0.9,2.04,76.015
0.0,0.1,2.12,79.663
0.0,0.5,2.22,90.763
0.0,0.2,2.28,96.632
0.0,0.2,2.48,114.522
0.0,0.1,2.72,134.01
0.0,0.1,2.74,135.827
0.015,0.4,2.84,143.775
0.342,0.6,2.88,156.138
1.085,1.0,3.06,172.713
2.875,1.7,3.3,196.5
4.215,2.0,3.44,209.693
0.0,0.4,3.5,217.822
1.063,1.3,3.76,246.43
0.0,0.3,3.8,252.702
0.375,0.8,3.96,283.448
0.973,1.0,4.14,300.753
0.0,0.2,4.18,306.983
0.187,0.5,4.34,329.08
0.62,0.6,4.54,348.19
1.727,1.0,4.86,383.48
2.377,1.0,4.96,399.445
0.0,0.0,4.96,406.472
0.367,0.9,5.16,446.788
1.825,1.6,5.4,486.455
4.263,2.2,5.64,527.813
7.875,3.2,5.84,570.745
10.668,3.4,6.04,597.067
15.912,4.1,6.24,642.96
20.237,4.7,6.44,676.36
0.0,0.9,6.6,701.857
0.472,1.0,6.74,727.993
2.025,1.8,6.88,779.128
4.617,2.3,7.14,831.89
6.373,2.4,7.3,860.82
8.18,2.6,7.4,888.372
10.532,2.8,7.6,922.132
0.0,0.4,7.68,944.452
0.052,0.4,7.74,954.732
0.505,0.9,7.94,995.258
2.093,1.7,8.28,1056.165
3.245,1.9,8.42,1086.135
6.3,2.5,8.62,1150.192
8.848,2.8,8.74,1195.097
10.625,3.0,8.86,1223.67
12.823,3.4,8.9,1256.977
0.0,0.6,8.96,1285.255
0.042,0.6,9.02,1295.75
0.33,0.7,9.04,1325.13
1.375,0.7,9.04,1392.93
2.425,0.7,9.04,1460.73
3.475,0.7,9.04,1528.53
0.0,0.2,9.04,1538.323
0.307,0.2,9.04,1609.89
0.607,0.2,9.04,1677.69
0.907,0.2,9.04,1745.49
1.207,0.2,9.04,1813.29
0.0,0.0,9.04,1822.33
0.0,0.0,9.04,1893.897
0.0,0.0,9.04,1961.697
0.0,0.0,9.04,2029.497
0.0,0.0,9.04,2097.297
0.0,0.0,9.04,2168.863
0.0,0.0,9.04,2240.43
0.0,0.0,9.04,2308.23
0.0,0.0,9.04,2376.03
0.0,0.0,9.04,2443.83
0.0,0.0,9.04,2511.63
0.0,0.0,9.04,2579.43
0.0,0.0,9.04,2647.23
0.0,0.0,9.04,2715.03
0.0,0.0,9.04,2782.83
0.0,0.0,9.04,2850.63
0.0,0.0,9.04,2918.43
0.0,0.0,9.04,2986.23
0.0,0.0,9.04,3057.797
0.0,0.0,9.04,3125.597
0.0,0.0,9.04,3197.163
0.0,0.0,9.04,3264.963
0.0,0.0,9.04,3332.763
0.0,0.0,9.04,3400.563
0.0,0.0,9.04,3468.363
0.0,0.0,9.04,3536.163
0.0,0.0,9.04,3603.963
0.0,0.0,9.04,3671.763
0.0,0.0,9.04,3739.563
0.0,0.0,9.04,3807.363
0.0,0.0,9.04,3875.163
0.0,0.0,9.04,3942.963
0.0,0.0,0.0,0.0
0.032,0.5,0.08,0.127
0.842,1.3,0.34,1.883
2.845,1.5,0.52,5.122
4.205,1.7,0.64,7.818
6.13,1.9,0.76,11.73
9.355,3.2,1.06,18.63
14.078,3.9,1.28,27.558
19.908,4.2,1.46,37.743
0.0,0.7,1.52,43.075
0.27,0.7,1.58,48.11
0.997,0.8,1.74,56.28
2.468,1.6,1.98,70.177
0.0,0.2,2.02,75.007
0.158,0.2,2.14,84.103
0.0,0.1,2.14,86.422
0.0,0.2,2.3,97.035
0.03,0.5,2.4,106.84
0.0,0.1,2.44,112.305
0.0,0.2,2.54,118.507
0.0,0.1,2.54,121.047
0.068,0.4,2.68,130.653
0.293,0.8,2.82,140.04
1.467,1.1,2.92,161.495
2.395,1.4,3.08,174.048
0.0,0.3,3.12,179.492
0.65,0.8,3.38,205.203
0.0,0.2,3.46,210.623
0.78,1.1,3.7,238.737
0.0,0.3,3.74,244.632
0.0,0.1,3.92,273.343
0.0,0.2,3.92,276.937
0.015,0.3,4.0,287.838
0.322,0.7,4.2,308.455
1.02,1.0,4.34,329.522
0.0,0.1,4.36,335.68
0.0,0.5,4.64,357.448
0.297,0.5,4.84,381.14
0.672,0.5,4.96,399.532
1.235,0.9,5.1,425.95
2.827,1.8,5.32,464.753
5.582,2.4,5.48,505.157
9.18,3.3,5.7,547.28
14.307,3.7,6.02,591.12
17.397,4.3,6.08,616.345
23.955,4.9,6.38,663.077
28.178,5.2,6.52,691.003
33.218,5.4,6.7,723.053
37.448,5.7,6.82,749.528
42.732,6.4,6.88,780.943
47.183,6.5,7.06,805.918
52.253,6.9,7.14,833.778
55.515,7.0,7.26,851.212
62.557,7.2,7.38,888.425
0.0,1.4,7.66,931.718
0.333,1.4,7.68,950.273
2.555,2.2,7.98,1009.022
0.0,0.7,8.14,1029.842
0.467,0.9,8.32,1069.557
0.98,1.2,8.44,1096.77
1.86,1.3,8.56,1130.047
4.073,1.9,8.7,1194.717
0.0,0.2,8.76,1213.64
0.11,0.6,8.86,1261.495
0.453,0.9,8.98,1291.19
1.905,1.1,9.0,1358.683
0.0,0.0,9.0,1372.933
0.0,0.0,9.0,1444.183
0.0,0.0,9.0,1511.683
0.0,0.0,9.0,1579.183
0.0,0.0,9.0,1646.683
0.0,0.0,9.0,1714.183
0.0,0.0,9.0,1781.683
0.0,0.0,9.0,1852.933
0.0,0.0,9.0,1924.183
0.0,0.0,9.0,1991.683
0.0,0.0,9.0,2059.183
0.0,0.0,9.0,2126.683
0.0,0.0,9.0,2194.183
0.0,0.0,9.0,2261.683
0.0,0.0,9.0,2329.183
0.0,0.0,9.0,2396.683
0.0,0.0,9.0,2464.183
0.0,0.0,9.0,2531.683
0.0,0.0,9.0,2599.183
0.0,0.0,9.0,2666.683
0.0,0.0,9.72,2736.568
0.0,0.0,8.78,2618.005
0.0,0.0,8.9,2635.315
0.0,0.0,8.54,2657.42
0.0,0.0,8.74,2673.393
0.0,0.0,8.74,2742.585
0.0,0.0,8.74,2808.135
0.0,0.0,8.74,2873.685
0.0,0.0,8.74,2939.235
0.0,0.0,8.74,3008.427
0.0,0.0,8.74,3077.618
0.0,0.0,8.74,3146.81
0.0,0.0,8.74,3216.002
0.0,0.0,8.74,3281.552
0.0,0.0,8.74,3347.102
0.0,0.0,8.74,3412.652
0.0,0.0,8.74,3478.202
0.0,0.0,8.74,3543.752
0.0,0.0,8.74,3609.302
0.0,0.0,8.74,3674.852
0.0,0.0,0.0,0.0
0.0,0.3,0.08,0.128
0.18,0.6,0.28,0.972
1.443,1.3,0.46,3.723
2.137,1.3,0.48,4.987
3.385,1.5,0.64,7.813
5.055,1.7,0.76,11.665
7.955,3.0,1.06,18.542
12.36,3.7,1.28,27.445
0.0,0.6,1.32,31.655
0.323,0.7,1.46,36.882
0.0,0.1,1.48,38.71
0.075,0.3,1.54,45.5
0.677,0.6,1.76,57.868
0.0,0.2,1.8,60.387
0.0,0.0,1.84,63.877
0.0,0.0,2.12,78.78
0.0,0.3,2.28,95.122
0.107,0.4,2.36,100.313
1.007,1.1,2.54,118.503
2.097,1.5,2.68,130.648
3.053,1.9,2.82,139.798
