episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
1,198.03,2185.8848167539268,11.86910994764398,191,0,1.0,0.0,20,0.0
2,226.95000000000002,1161.0339805825242,9.145631067961165,206,0,0.999859420000003,9.182736455463728e-08,14,1.684918607939297
3,209.19000000000003,1214.1326530612246,9.933673469387756,196,0,0.9996653800000073,3.6730945821854913e-07,22,0.13256582402034986
4,208.6100000000001,1497.9641025641026,10.707692307692307,195,0,0.9994723300000115,8.264462809917355e-07,20,0.06682149506150148
5,238.0399999999999,1100.12077294686,8.594202898550725,207,0,0.9992674000000159,1.4692378328741965e-06,11,0.04471801997247885
6,213.97,1252.8507462686566,10.537313432835822,201,0,0.9990684100000202,2.295684113865932e-06,12,0.041760333945780104
7,215.18999999999988,1372.8290155440413,9.73056994818653,193,0,0.9988773400000244,3.305785123966942e-06,17,0.04139582103436784
8,229.25999999999993,1679.1617647058824,10.980392156862745,204,0,0.9986753800000288,4.499540863177228e-06,20,0.03967736686315095
9,176.88999999999996,2248.5303867403313,13.01657458563536,181,0,0.9984961900000326,5.876951331496786e-06,14,0.041715062192502275
10,227.70000000000007,1886.8730964467004,12.47715736040609,196,1,0.9983011600000369,7.438016528925621e-06,14,0.052184012460848556
11,231.20000000000013,1683.6318407960198,10.512437810945274,201,0,0.9981021700000412,9.182736455463728e-06,17,0.05674627243045403
12,203.67999999999998,1350.1917098445597,10.321243523316062,193,0,0.9979111000000453,1.1111111111111113e-05,11,0.05909334219162174
13,190.21999999999994,5148.530054644809,17.852459016393443,183,0,0.9977299300000493,1.3223140495867768e-05,5,0.10069166721847377
14,206.75999999999996,2099.011111111111,12.833333333333334,180,0,0.9975517300000531,1.5518824609733703e-05,44,0.0769989309211572
15,202.42999999999992,1215.546875,9.895833333333334,191,1,0.9973616500000573,1.799816345270891e-05,5,0.07580658193789229
16,226.11999999999995,1344.8086124401914,10.296650717703349,209,0,0.9971547400000618,2.0661157024793387e-05,10,0.07334323984049439
17,260.42,968.2,8.28,224,1,0.9969319900000666,2.3507805325987144e-05,10,0.09076966147041983
18,207.85000000000002,2138.644329896907,12.149484536082474,194,0,0.9967399300000708,2.6538108356290177e-05,14,0.09125699783128101
19,193.71999999999994,2086.9405405405405,12.886486486486486,185,0,0.9965567800000747,2.9752066115702484e-05,15,0.10194341716532772
20,196.12000000000003,2124.435233160622,12.393782383419689,193,0,0.9963657100000789,3.314967860422405e-05,8,0.11668391604159857
21,203.38,2171.0223463687153,12.731843575418994,178,1,0.9961885000000827,3.6730945821854914e-05,31,0.126936431076669
22,232.93999999999988,2027.1958762886597,10.850515463917526,193,1,0.9959964400000869,4.049586776859504e-05,18,0.13913935199187896
23,226.06,1830.460396039604,11.797029702970297,202,0,0.9957964600000913,4.444444444444445e-05,16,0.15316328242199845
24,222.2699999999999,1070.78,8.695,198,2,0.9955984600000956,4.857667584940312e-05,22,0.16475954034365714
25,225.11,1538.4102564102564,10.569230769230769,192,3,0.9954054100000997,5.289256198347107e-05,20,0.1739555172669964
26,199.3900000000001,1520.7567567567567,10.691891891891892,185,0,0.9952222600001037,5.739210284664831e-05,11,0.20098969090629268
27,195.92999999999998,1713.7329842931938,10.38219895287958,189,2,0.9950331700001078,6.207529843893481e-05,28,0.21963866809821878
28,200.0500000000001,1259.9239130434783,9.88586956521739,180,4,0.9948510100001118,6.694214876033059e-05,11,0.24119005365418675
29,212.47999999999996,2003.874345549738,11.089005235602095,190,1,0.9946619200001159,7.199265381083564e-05,14,0.23917702783425754
30,198.93000000000006,1573.738219895288,10.99476439790576,190,1,0.99447283000012,7.722681359044994e-05,32,0.2481804624863008
31,226.62999999999988,1367.551724137931,9.665024630541872,202,1,0.9942718600001244,8.264462809917355e-05,14,0.26761640026578176
32,189.85,1903.5343915343915,11.544973544973544,189,0,0.9940847500001284,8.824609733700642e-05,11,0.31910227455947765
33,205.43999999999986,1834.5628415300546,11.426229508196721,183,0,0.9939035800001323,9.403122130394858e-05,24,0.3178638654247008
34,193.31,1442.0684210526315,10.56842105263158,188,2,0.9937154800001364,0.0001,11,0.3501045927797493
35,199.0600000000001,1778.8983957219252,11.310160427807487,186,1,0.9935303500001404,0.00010615243342516071,26,0.3565970848508697
36,180.95999999999995,1963.2166666666667,12.977777777777778,178,2,0.9933521500001443,0.00011248852157943069,21,0.33905340277382895
37,245.27000000000012,997.1895734597157,8.701421800947868,210,1,0.9931432600001489,0.00011900826446280994,12,0.3889941070581923
38,199.79000000000002,1836.497435897436,11.615384615384615,194,1,0.992950210000153,0.00012571166207529842,16,0.41203002778765485
39,224.17000000000002,2068.08,12.415,199,1,0.9927522100001573,0.0001325987144168962,13,0.4613192013837397
40,196.07999999999996,1755.4462365591398,10.629032258064516,184,2,0.9925680700001613,0.0001396694214876033,21,0.4673490782158189
41,222.03,1200.045,8.915,198,2,0.9923700700001656,0.00014692378328741966,14,0.47672937975497914
42,197.65000000000003,1484.756906077348,10.502762430939226,179,2,0.9921908800001695,0.00015436179981634528,24,0.543930149940743
43,187.69000000000005,1706.0104712041884,11.81675392670157,187,4,0.9920017900001736,0.00016198347107438017,13,0.511761588390663
44,198.39000000000001,2042.4545454545455,11.903743315508022,186,1,0.9918166600001777,0.00016978879706152435,14,0.5851936192914127
45,201.28999999999994,991.360824742268,8.391752577319588,193,1,0.9916246000001818,0.0001777777777777778,13,0.5974289353975316
46,198.23,2264.6,12.092307692307692,194,1,0.991431550000186,0.00018595041322314049,13,0.6057262889276712
47,191.48,1626.387640449438,11.775280898876405,176,2,0.9912553300001898,0.00019430670339761247,11,0.7088036006002614
48,222.58999999999997,1190.26,9.695,197,3,0.9910573300001941,0.00020284664830119375,16,0.7369666314870119
49,220.67999999999995,1173.3622448979593,9.724489795918368,193,3,0.9908632900001983,0.0002115702479338843,26,0.8309621315601529
50,238.8799999999999,856.2524752475248,7.935643564356436,202,0,0.9906633100002027,0.00022047750229568411,25,0.7789751813737767
51,190.85,1626.3494623655913,11.973118279569892,185,1,0.9904791700002067,0.00022956841138659323,12,0.7862689010798931
52,215.58,1593.5333333333333,11.276923076923078,190,5,0.9902861200002109,0.00023884297520661158,27,1.0165298673778007
53,229.2599999999999,1048.816425120773,9.309178743961352,204,3,0.9900811900002153,0.00024830119375573924,13,0.8992269328898854
54,213.57,1711.2410256410255,11.128205128205128,192,3,0.9898881400002195,0.0002579430670339761,18,0.938533057883764
55,201.65,2316.7134831460676,13.258426966292134,176,2,0.9897119200002233,0.00026776859504132236,12,0.9669228070991093
56,216.70999999999998,928.5427135678392,8.64824120603015,195,4,0.9895149100002276,0.0002777777777777778,10,0.9813405877381713
57,207.27000000000012,1819.453125,11.041666666666666,191,1,0.9893248300002317,0.00028797061524334257,23,1.0226631841311853
58,233.14999999999986,803.9954128440367,8.18348623853211,215,3,0.9891090100002364,0.0002983471074380165,17,1.0311287837701106
59,205.38000000000005,1684.8128342245989,11.705882352941176,184,3,0.9889238800002405,0.0003089072543617998,18,1.2509637096508301
60,177.02000000000007,2461.8516483516482,13.192307692307692,181,1,0.9887437000002444,0.0003196510560146924,10,1.3112726251666362
61,208.21,1598.0618556701031,10.041237113402062,190,4,0.9885516400002485,0.0003305785123966942,21,1.162848362219088
62,183.91000000000008,1706.5698924731182,11.016129032258064,184,2,0.9883675000002525,0.0003416896235078054,11,1.37109697299699
63,201.38000000000008,1167.6632124352332,9.544041450777202,190,3,0.9881764300002567,0.0003529843893480257,13,1.251451020490938
64,178.26000000000002,2826.070652173913,14.695652173913043,182,2,0.9879942700002606,0.0003644628099173554,14,1.4627295720755407
65,222.97999999999985,2536.245,12.785,200,0,0.9877962700002649,0.0003761248852157943,27,1.496858201250434
66,208.93999999999994,1687.5434782608695,10.83695652173913,181,3,0.9876141100002689,0.00038797061524334245,27,1.4458134175561692
67,206.14000000000001,1071.1709844559587,8.865284974093264,188,5,0.987423040000273,0.0004,14,1.5958918772367616
68,197.56000000000006,1541.5483870967741,10.596774193548388,183,3,0.987238900000277,0.00041221303948576674,15,1.5897060136801453
69,195.62000000000003,1942.4705882352941,12.556149732620321,183,4,0.987053770000281,0.00042460973370064283,21,1.9579200408356712
70,204.2400000000001,1918.7628865979382,11.77319587628866,192,2,0.9868617100002852,0.0004371900826446281,6,1.7546746822976576
71,230.58999999999997,843.1890547263681,7.830845771144278,200,1,0.9866627200002895,0.00044995408631772274,12,2.096910081692596
72,213.79000000000002,1347.3297297297297,9.378378378378379,185,0,0.9864795700002935,0.0004629017447199265,8,1.8866319718393119
73,253.15999999999985,1067.2,8.768181818181818,218,2,0.9862617700002982,0.00047603305785123975,12,1.8843882036480037
74,198.62000000000006,2250.5238095238096,14.058201058201059,186,3,0.9860746600003023,0.0004893480257116621,26,1.8224673645285072
75,217.57000000000005,2079.029702970297,12.148514851485148,199,3,0.9858746800003066,0.0005028466483011937,9,2.213183153014962
76,255.04999999999993,1293.1057692307693,9.5625,206,2,0.9856687600003111,0.0005165289256198347,32,2.262489688403618
77,224.66000000000014,1147.0582524271845,9.46116504854369,206,0,0.9854648200003155,0.0005303948576675849,12,2.1605441656361504
78,201.77999999999994,5054.475935828877,17.71657754010695,186,1,0.9852796900003196,0.0005444444444444445,17,2.0149502298610416
79,215.17000000000004,896.0051546391752,8.556701030927835,192,2,0.9850876300003237,0.0005586776859504132,9,2.195716149720949
80,243.18999999999997,1800.5990566037735,11.150943396226415,211,1,0.9848777500003283,0.0005730945821854913,15,2.238096302832073
81,227.4399999999999,1660.3917525773195,10.304123711340207,192,2,0.9846856900003325,0.0005876951331496786,24,2.2920302742535306
82,231.80000000000004,1794.088669950739,11.157635467980295,202,1,0.9844847200003368,0.0006024793388429751,12,2.3628147503572143
83,207.78000000000003,1547.233830845771,10.328358208955224,199,2,0.9842857300003411,0.0006174471992653811,8,2.5125946858480797
84,197.89999999999992,1829.8095238095239,12.047619047619047,185,4,0.9840986200003452,0.0006325987144168961,18,2.5944164203351767
85,252.00000000000009,1163.256038647343,9.545893719806763,203,4,0.9838936900003497,0.0006479338842975207,17,2.471521104519494
86,241.30000000000004,880.8767123287671,8.200913242009133,216,3,0.9836768800003544,0.0006634527089072543,18,2.5069460238087666
87,209.7,2059.627659574468,11.99468085106383,187,1,0.9834907600003584,0.0006791551882460974,21,2.8932219438472804
88,203.5,1687.140625,10.822916666666666,190,2,0.9833006800003625,0.0006950413223140496,23,2.998830191946278
89,174.89999999999995,1800.0116959064328,11.385964912280702,171,0,0.9831313900003662,0.0007111111111111113,22,2.8842535891205245
90,214.69,1676.5816326530612,11.142857142857142,194,2,0.9829373500003704,0.0007273645546372819,23,2.6793700217896577
